chave_acesso;serie;numero;natureza_operacao;data;cnpj
5,12201E+43;2;20119;VENDA;02/01/2022 08:08;2,81172E+12
5,12201E+43;1;90370;5656 Venda de combustivel ou lubrificante, adquiridos ou re;02/01/2022 08:30;1,9968E+13
5,12201E+43;1;90371;5656 Venda de combustivel ou lubrificante, adquiridos ou re;02/01/2022 08:36;1,9968E+13
3,12201E+43;890;31228652;DEVOLUCAO;02/01/2022 08:37;3,20884E+13
5,22201E+43;1;21906;UF-OUTRA SAIDA MERCADORIA OU P;02/01/2022 08:39;2,92334E+13
5,12201E+43;5;96896;VENDAS;02/01/2022 08:46;1,71386E+13
5,12201E+43;5;96897;VENDAS;02/01/2022 08:49;1,71386E+13
5,12201E+43;5;96898;VENDAS;02/01/2022 08:55;1,71386E+13
2,12201E+43;1;3;Venda de mercadoria adquirida ou recebida de terceiros;02/01/2022 08:58;3,67678E+13
5,12201E+43;1;54245;MOD 55 - VENDA MERCADORIA;02/01/2022 08:58;1,80228E+13
5,12201E+43;2;36573;VENDA;02/01/2022 09:00;1,05903E+13
4,32201E+43;8;17690;LANCTO DE OPERACAO REGISTRADA EM ECF;02/01/2022 09:06;7,47374E+12
5,12201E+43;1;32280;5656 Venda de combustivel ou lubrificante, adquiridos ou re;02/01/2022 09:13;2,83681E+12
5,12201E+43;1;223951;VENDA DE COMBUSTIVEL CONSUMIDOR OUTRA UF;02/01/2022 09:24;1,07376E+13
3,12201E+43;1;5814;VENDA;02/01/2022 09:27;8,78498E+12
1,72201E+43;1;1669;VENDA MERCADORIA - ECF;02/01/2022 09:49;8,02149E+12
3,22201E+43;0;214;VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS;02/01/2022 09:53;3,34317E+13
1,32201E+43;61;14120;VENDA DE PRODUCAO DO ESTABELECIMENTO, EFETUADA FORA DO ESTAB;02/01/2022 10:12;3,4598E+13
5,12201E+43;1;26960;5656 Venda de combustivel ou lubrificante, adquiridos ou re;02/01/2022 10:17;1,9968E+13
4,12201E+43;3;33531;Venda Registrada em NFC-E;02/01/2022 10:23;4,24405E+12
5,32201E+43;1;161148;VENDA ESTADUAL;02/01/2022 10:28;4,36388E+12
5,32201E+43;1;161148;VENDA ESTADUAL;02/01/2022 10:28;4,36388E+12
5,32201E+43;1;161148;VENDA ESTADUAL;02/01/2022 10:28;4,36388E+12
5,32201E+43;1;161148;VENDA ESTADUAL;02/01/2022 10:28;4,36388E+12
5,32201E+43;1;161148;VENDA ESTADUAL;02/01/2022 10:28;4,36388E+12
5,32201E+43;1;161148;VENDA ESTADUAL;02/01/2022 10:28;4,36388E+12
5,32201E+43;1;161150;VENDA ESTADUAL;02/01/2022 10:34;4,36388E+12
5,32201E+43;1;161150;VENDA ESTADUAL;02/01/2022 10:34;4,36388E+12
5,32201E+43;1;161150;VENDA ESTADUAL;02/01/2022 10:34;4,36388E+12
